Feature_Designation_Code,Feature_Designation_Name,Feature_Designation_Description,Collection_Guidance,Feature_Class
STMD,distributary(-ies),"branch(es) which flow(s) away from the main stream, as in a delta or irrigation canal(s)",At Mouth,H - Hydrographic
STMGS,stream gauging station,"named place where a measuring station for a watercourse, reservoir or other water body exists",Center of Feature,S - Spot Features
STMH,headwaters,"the source and upper part of a stream, including the upper drainage basin",Center of Feature,H - Hydrographic
STMI,intermittent stream,intermittent stream,At Mouth,H - Hydrographic
STMIX,section of intermittent stream,section of intermittent stream,Center of Feature,H - Hydrographic
STMM,stream mouth(s),"place(s) where a stream discharges into a lagoon, lake, or the sea",Center of Feature,H - Hydrographic
STMQ,abandoned watercourse,"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns","Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
STMSB,lost river,"a surface stream that disappears into an underground channel, or dries up in an arid area",Where stream disperses in arid area or goes underground,H - Hydrographic
STMX,section of stream,section of stream,Center of Feature,H - Hydrographic
STNB,scientific research base,a facility for carrying out scientific/technological research or experiments,Center of Feature,S - Spot Features
STNC,coast guard station,a facility from which the coast is guarded by armed vessels,Center of Feature,S - Spot Features
STNF,forest station,a collection of buildings and facilities for carrying out forest management,Center of Feature,S - Spot Features
STNI,inspection station,"a station at which vehicles, goods, and people are inspected",Center of Feature,S - Spot Features
STNM,meteorological station,a station at which weather elements are recorded,Center of Feature,S - Spot Features
STNR,radio station,a facility for producing and transmitting information by radio waves,Center of Feature,S - Spot Features
STNS,satellite station,a facility for tracking and communicating with orbiting satellites,Center of Feature,S - Spot Features
STNW,whaling station,a facility for butchering whales and processing train oil,Center of Feature,S - Spot Features
STPS,steps,stones or slabs placed for ease in ascending or descending a steep slope,Center of Feature,S - Spot Features
STRT,strait,"a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water",Center of Feature,H - Hydrographic
SUBS,subway station,"a facility comprising ticket office, platforms, etc. for loading and unloading subway passengers",Center of Feature,S - Spot Features
SUBW,subway,"a railroad used for mass public transportation primarily in urban areas, all or part of the system may be located below, above, or at ground level",Center of Feature,S - Spot Features
SWMP,swamp,a wetland dominated by tree vegetation,Center of Feature,H - Hydrographic
SWT,sewage treatment plant,facility for the processing of sewage and/or wastewater,Center of Feature,S - Spot Features
SYG,synagogue,a place for Jewish worship and religious instruction,Center of Feature,S - Spot Features
SYSI,irrigation system,"a network of ditches and one or more of the following elements:  water supply, reservoir, canal, pump, well, drain, etc.",Center of Feature,H - Hydrographic
TAL,talus slope,a steep concave slope formed by an accumulation of loose rock fragments at the base of a cliff or steep slope,Center of Feature,T - Hypsographic
TERR,territory,territory,Center of Feature,A - Administrative Regions
TERU,undersea terrace,"a relatively flat horizontal or gently inclined surface, sometimes long and narrow, which is bounded by a steeper ascending slope on one side and by a steep descending slope on the opposite side",Center of Feature (modification/addition requires ACUF approval),U - Undersea
THTR,theater,"a building or outdoor area used for live theatrical presentations, concerts, opera or dance productions, cinema, and/or other stage productions",Center of Feature,S - Spot Features
TMB,tomb(s),structure(s) for interring bodies,Center of Feature,S - Spot Features
TMPL,temple(s),edifice(s) dedicated to religious worship,Center of Feature,S - Spot Features
TMSU,tablemounts (or guyots),"seamounts having a comparatively smooth, flat top",Center of Feature (modification/addition requires ACUF approval),U - Undersea
TMTU,tablemount (or guyot),"a seamount having a comparatively smooth, flat top",Center of Feature (modification/addition requires ACUF approval),U - Undersea
TNGU,undersea tongue,an elongate (tongue-like) extension of a flat sea floor into an adjacent higher feature,Center of Feature (modification/addition requires ACUF approval),U - Undersea
TNKD,cattle dipping tank,a small artificial pond used for immersing cattle in chemically treated water for disease control,Center of Feature,S - Spot Features
TNL,tunnel(s),"naturally occurring or manmade underground passage(s), open at both ends and usually containing a transportation route",Center of Feature,R - Transportation Networks
TNLC,canal tunnel,a tunnel through which a canal passes,Center of Feature,H - Hydrographic
TNLRD,road tunnel,a tunnel through which a road passes,Center of Feature,R - Transportation Networks
TNLRR,railroad tunnel,a tunnel through which a railroad passes,Center of Feature,R - Transportation Networks
TOLL,toll gate/barrier,highway toll collection station,Center of Feature,S - Spot Features
TOWR,tower,"a high conspicuous structure, typically much higher than its diameter",Center of Feature,S - Spot Features
TRANT,transit terminal,facilities for the handling of vehicular freight and passengers,Center of Feature,S - Spot Features
TRB,tribal area,a tract of land used by nomadic or other tribes,Center of Feature,L - Areas/Localities
TREE,tree(s),conspicuous tree(s) used as landmark(s),Center of Feature,V - Vegetation
TRGD,interdune trough(s),long wind-swept trough(s) between parallel longitudinal dunes,Center of Feature,T - Hypsographic
TRGU,undersea trough,"a long depression of the sea floor characteristically flat bottomed and steep sided, and normally shallower than a trench",Center of Feature (modification/addition requires ACUF approval),U - Undersea
TRIG,triangulation station,a point on the earth whose position has been determined by triangulation,Center of Feature,S - Spot Features
TRL,trail,"a path, track, or route used by pedestrians, animals, or off-road vehicles","Westernmost End (When feature is North to South Oriented, Southernmost End)",R - Transportation Networks
TRMO,oil pipeline terminal,a tank farm or loading facility at the end of an oil pipeline,Center of Feature,S - Spot Features
TRNU,undersea trench,"a long, narrow, characteristically very deep and asymmetrical depression of the sea floor, with relatively steep sides",Center of Feature (modification/addition requires ACUF approval),U - Undersea
TRR,terrace,"a long, narrow alluvial platform bounded by steeper slopes above and below, usually overlooking a waterbody",Center of Feature,T - Hypsographic
TUND,tundra,"a marshy, treeless, high latitude plain, dominated by mosses, lichens, and low shrub vegetation under permafrost conditions",Center of Feature,V - Vegetation
UPLD,upland,an extensive interior region of high land with low to moderate surface relief,Center of Feature,T - Hypsographic
VAL,valley(s),elongated depression(s) usually traversed by a stream,Center of Feature,T - Hypsographic
VALG,hanging valley,a valley the floor of which is notably higher than the valley or shore to which it leads; most common in areas that have been glaciated,Center of Feature,T - Hypsographic
VALU,undersea valley,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",Center of Feature (modification/addition requires ACUF approval),U - Undersea
VALX,section of valley,section of valley,Center of Feature,T - Hypsographic
VETF,veterinary facility,a building or camp at which veterinary services are available,Center of Feature,S - Spot Features
VIN,vineyard(s),planting(s) of grapevines,Center of Feature,V - Vegetation
VLC,volcano,a conical elevation composed of volcanic materials with a crater at the top,Center of Feature,T - Hypsographic
VLSU,undersea valleys,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",Center of Feature (modification/addition requires ACUF approval),U - Undersea
WAD,wadi(s),"dry, intermittent, or ephemeral drainage course(s) commonly found in North Africa, and the Middle East, the channels of which are commonly shallow and braided",At Mouth,H - Hydrographic
WADB,wadi bend,a conspicuously curved or bent segment of a wadi,Center of Feature,H - Hydrographic
WADJ,wadi junction,a place where two or more wadies join,Center of Feature,H - Hydrographic
WADM,wadi mouth,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody",Center of Feature,H - Hydrographic
WADX,section of wadi,section of wadi,Center of Feature,H - Hydrographic
WALL,wall,"a thick masonry structure, usually enclosing a field or building, or forming the side of a structure",Center of Feature,S - Spot Features
WALLA,ancient wall,the remains of a linear defensive stone structure,Center of Feature,S - Spot Features
WEIR,weir(s),"small dam(s) in a stream, designed to raise the water level or to divert stream flow through a desired channel",Center of Feature,S - Spot Features
WHRF,wharf(-ves),a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities,Center of Feature,S - Spot Features
WHRL,whirlpool,"a turbulent, rotating movement of water in a stream",Center of Feature,H - Hydrographic
WLL,water well(s),single or multiple shafts sunk into the ground to reach and tap a supply of water,Center of Feature,H - Hydrographic
WLLQ,abandoned well,abandoned well,Center of Feature,H - Hydrographic
WRCK,wreck,the site of the remains of a wrecked vessel,Center of Feature,S - Spot Features
WTLD,wetland,"an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation",Center of Feature,H - Hydrographic
WTLDI,intermittent wetland,intermittent wetland,Center of Feature,H - Hydrographic
WTRH,waterhole(s),"natural hole(s), hollow(s), or small depression(s) that contain(s) water, used by man and animals, especially in arid areas",Center of Feature,H - Hydrographic
WTRW,waterworks,a facility for supplying potable water through a water source and a system of pumps and filtration beds,Center of Feature,S - Spot Features
ZNB,buffer zone,"a delimited area separating two, or more, political entities or territories, within which certain activities are limited or prohibited",Center of Feature,A - Administrative Regions
ZNF,free trade zone,"an area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations",Center of Feature,S - Spot Features
ZOO,zoo,a zoological garden or park where wild animals are kept for exhibition,Center of Feature,S - Spot Features
